Date,Team1,Team2,Result1,Result2
2017-02-17,Australia,Sri Lanka,0,1
2017-02-19,Australia,Sri Lanka,0,1
2017-02-22,Australia,Sri Lanka,1,0
2016-06-18,Zimbabwe,India,1,0
2016-06-20,Zimbabwe,India,0,1
2016-06-22,Zimbabwe,India,0,1
2017-01-03,New Zealand,Bangladesh,1,0
2017-01-06,New Zealand,Bangladesh,1,0
2017-01-08,New Zealand,Bangladesh,1,0
2017-02-17,New Zealand,South Africa,0,1
2017-06-21,England,South Africa,1,0
2017-06-23,England,South Africa,0,1
2017-06-25,England,South Africa,1,0
2017-01-26,India,England,0,1
2017-01-29,India,England,1,0
2017-02-01,India,England,1,0
2016-08-27,India,West Indies,0,1
2016-08-28,India,West Indies,0,0
2016-09-23,Pakistan,West Indies,1,0
2016-09-24,Pakistan,West Indies,1,0
2016-09-27,Pakistan,West Indies,1,0
2017-03-26,West Indies,Pakistan,0,1
2017-03-30,West Indies,Pakistan,0,1
2017-04-04,Sri Lanka,Bangladesh,1,0
2017-04-06,Sri Lanka,Bangladesh,0,1
2017-04-01,West Indies,Pakistan,1,0
2017-04-02,West Indies,Pakistan,0,1
2017-06-02,West Indies,Afghanistan,1,0
2017-06-03,West Indies,Afghanistan,1,0
2017-06-05,West Indies,Afghanistan,1,0
2017-07-09,West Indies,India,1,0
2019-02-01,South Africa,Pakistan,1,0
2019-02-03,South Africa,Pakistan,1,0
2019-03-19,South Africa,Sri Lanka,0,0
2019-03-22,South Africa,Sri Lanka,1,0
2019-03-24,South Africa,Sri Lanka,1,0
2019-05-05,England,Pakistan,1,0
2019-03-05,West Indies,England,0,1
2019-03-08,West Indies,England,0,1
2019-03-10,West Indies,England,0,1
2019-02-27,India,Australia,0,1
2019-10-27,Australia,Sri Lanka,1,0
2019-10-30,Australia,Sri Lanka,1,0
2019-11-01,Australia,Sri Lanka,1,0
2019-11-03,Australia,Pakistan,0,0
2019-11-05,Australia,Pakistan,1,0
2019-11-08,Australia,Pakistan,1,0
2020-02-12,South Africa,England,1,0
2020-02-14,South Africa,England,0,1
2020-02-16,South Africa,England,0,1
2020-02-21,South Africa,Australia,0,1
2020-02-23,South Africa,Australia,1,0
2020-02-26,South Africa,Australia,0,1
2019-09-18,India,South Africa,1,0
2019-09-22,India,South Africa,0,1
2019-11-03,India,Bangladesh,0,1
2019-11-07,India,Bangladesh,1,0
2019-11-10,India,Bangladesh,1,0
2019-12-06,India,West Indies,1,0
2019-12-08,India,West Indies,0,1
2019-12-11,India,West Indies,1,0
2019-11-01,New Zealand,England,0,1
2019-11-03,New Zealand,England,1,0
2019-11-05,New Zealand,England,1,0
2019-11-08,New Zealand,England,0,1
2019-11-10,New Zealand,England,0,0
2020-01-24,New Zealand,India,0,1
2020-01-26,New Zealand,India,0,1
2020-01-29,New Zealand,India,0,0
2020-01-31,New Zealand,India,0,0
2020-02-02,New Zealand,India,0,1
2019-08-03,India,West Indies,1,0
2019-08-04,India,West Indies,1,0
2019-08-06,West Indies,India,0,1
2019-09-01,Sri Lanka,New Zealand,0,1
2019-09-03,Sri Lanka,New Zealand,0,1
2019-09-06,Sri Lanka,New Zealand,1,0
2019-11-14,Afghanistan,West Indies,0,1
2019-11-16,Afghanistan,West Indies,1,0
2019-11-17,Afghanistan,West Indies,1,0
2019-09-13,Bangladesh,Zimbabwe,1,0
2019-09-14,Afghanistan,Zimbabwe,1,0
2019-09-15,Bangladesh,Afghanistan,0,1
2019-09-18,Bangladesh,Zimbabwe,1,0
